TransactionID,AccountID,DeviceID,IPAddress,MerchantID,TransactionDate,Kategori_Produk,Jumlah_Nominal,Durasi_Sesi
TX001,ACC07,DEV15,192.168.1.26,MCH07,2026-01-01,Elektronik,2253636.0,15.0
TX002,ACC20,DEV13,192.168.1.3,MCH01,2026-01-02,Elektronik,556831.0,144.0
TX003,ACC29,DEV01,192.168.1.19,MCH03,2026-01-03,Transportasi,541771.0,160.0
TX004,ACC15,DEV07,192.168.1.20,MCH02,2026-01-04,Elektronik,716095.0,2.0
TX005,ACC11,DEV09,192.168.1.32,MCH09,2026-01-05,Kuliner,858727.0,118.0
TX006,ACC08,DEV01,192.168.1.7,MCH10,2026-01-06,Transportasi,,55.0
TX007,ACC29,DEV12,192.168.1.41,MCH06,2026-01-07,Kuliner,894474.0,119.0
TX008,ACC21,DEV08,192.168.1.33,MCH10,2026-01-08,Elektronik,2208151.0,4.0
TX009,ACC07,DEV11,192.168.1.40,MCH03,2026-01-09,Fashion,95640.0,145.0
TX010,ACC26,DEV19,192.168.1.39,MCH08,2026-01-10,Elektronik,221582.0,13.0
TX011,ACC19,DEV17,192.168.1.18,MCH14,2026-01-11,Kuliner,2025991.0,75.0
TX012,ACC23,DEV08,192.168.1.40,MCH08,2026-01-12,Kuliner,425573.0,17.0
TX013,ACC11,DEV03,192.168.1.1,MCH02,2026-01-13,Transportasi,1499271.0,
TX014,ACC11,DEV03,192.168.1.11,MCH06,2026-01-14,Fashion,86476.0,153.0
TX015,ACC24,DEV01,192.168.1.28,MCH07,2026-01-15,Transportasi,1380531.0,157.0
TX016,ACC21,DEV05,192.168.1.25,MCH02,2026-01-16,Kuliner,1240856.0,118.0
TX017,ACC04,DEV10,192.168.1.23,MCH11,2026-01-17,Elektronik,700510.0,9.0
TX018,ACC08,DEV07,192.168.1.31,MCH10,2026-01-18,Fashion,923320.0,123.0
TX019,ACC24,DEV09,192.168.1.30,MCH02,2026-01-19,Elektronik,659736.0,93.0
TX020,ACC03,DEV07,192.168.1.42,MCH10,2026-01-20,Elektronik,1612261.0,165.0
TX021,ACC22,DEV09,192.168.1.35,MCH01,2026-01-21,Fashion,2032635.0,91.0
TX022,ACC21,DEV08,192.168.1.7,MCH08,2026-01-22,Transportasi,1251607.0,137.0
TX023,ACC02,DEV12,192.168.1.16,MCH01,2026-01-23,Elektronik,91234.0,61.0
TX024,ACC24,DEV02,192.168.1.26,MCH09,2026-01-24,Kuliner,1637818.0,179.0
TX025,ACC12,DEV01,192.168.1.48,MCH11,2026-01-25,Elektronik,2300504.0,29.0
TX026,ACC06,DEV16,192.168.1.49,MCH06,2026-01-26,Fashion,434995.0,102.0
TX027,ACC02,DEV05,192.168.1.2,MCH07,2026-01-27,Fashion,2317156.0,42.0
TX028,ACC28,DEV03,192.168.1.1,MCH13,2026-01-28,Fashion,491152.0,156.0
TX029,ACC21,DEV12,192.168.1.48,MCH10,2026-01-29,Transportasi,2015546.0,146.0
TX030,ACC01,DEV08,192.168.1.12,MCH07,2026-01-30,Elektronik,2028019.0,162.0
TX031,ACC12,DEV03,192.168.1.5,MCH10,2026-01-31,Transportasi,1798832.0,158.0
TX032,ACC26,DEV01,192.168.1.37,MCH03,2026-02-01,Transportasi,76934.0,142.0
TX033,ACC22,DEV03,192.168.1.32,MCH02,2026-02-02,Fashion,1793831.0,47.0
TX034,ACC29,DEV05,192.168.1.9,MCH09,2026-02-03,Fashion,450523.0,36.0
TX035,ACC12,DEV15,192.168.1.41,MCH08,2026-02-04,Transportasi,865530.0,135.0
TX036,ACC25,DEV14,192.168.1.35,MCH13,2026-02-05,Elektronik,30486.0,83.0
TX037,ACC17,DEV03,192.168.1.19,MCH12,2026-02-06,Kuliner,1212983.0,116.0
TX038,ACC27,DEV01,192.168.1.48,MCH10,2026-02-07,Transportasi,898332.0,48.0
TX039,ACC27,DEV05,192.168.1.16,MCH07,2026-02-08,Elektronik,1064458.0,154.0
TX040,ACC10,DEV14,192.168.1.3,MCH09,2026-02-09,Fashion,2342336.0,11.0
TX041,ACC28,DEV07,192.168.1.20,MCH04,2026-02-10,Fashion,1834891.0,57.0
TX042,ACC28,DEV09,192.168.1.24,MCH13,2026-02-11,Elektronik,2444862.0,31.0
TX043,ACC16,DEV15,192.168.1.33,MCH04,2026-02-12,Kuliner,222775.0,110.0
TX044,ACC15,DEV15,192.168.1.24,MCH01,2026-02-13,Fashion,2411488.0,6.0
TX045,ACC15,DEV10,192.168.1.11,MCH08,2026-02-14,Fashion,812494.0,120.0
TX046,ACC19,DEV13,192.168.1.49,MCH14,2026-02-15,Fashion,,34.0
TX047,ACC12,DEV19,192.168.1.8,MCH14,2026-02-16,Elektronik,1163356.0,119.0
TX048,ACC23,DEV07,192.168.1.36,MCH12,2026-02-17,Transportasi,1226193.0,66.0
TX049,ACC20,DEV17,192.168.1.38,MCH03,2026-02-18,Fashion,914465.0,147.0
TX050,ACC25,DEV04,192.168.1.40,MCH07,2026-02-19,Transportasi,558636.0,178.0
TX051,ACC03,DEV05,192.168.1.20,MCH12,2026-02-20,Kuliner,63102.0,12.0
TX052,ACC05,DEV07,192.168.1.35,MCH02,2026-02-21,Fashion,99460.0,86.0
TX053,ACC19,DEV13,192.168.1.48,MCH02,2026-02-22,Fashion,1438354.0,27.0
TX054,ACC07,DEV15,192.168.1.25,MCH07,2026-02-23,Kuliner,1801203.0,64.0
TX055,ACC21,DEV11,192.168.1.35,MCH06,2026-02-24,Fashion,2301360.0,87.0
TX056,ACC09,DEV04,192.168.1.25,MCH03,2026-02-25,Transportasi,238945.0,60.0
TX057,ACC07,DEV13,192.168.1.29,MCH09,2026-02-26,Elektronik,256915.0,28.0
TX058,ACC18,DEV07,192.168.1.18,MCH10,2026-02-27,Transportasi,2330276.0,178.0
TX059,ACC04,DEV19,192.168.1.46,MCH14,2026-02-28,Elektronik,550830.0,162.0
TX060,ACC25,DEV02,192.168.1.18,MCH13,2026-03-01,Elektronik,1357397.0,99.0
TX061,ACC28,DEV10,192.168.1.2,MCH06,2026-03-02,Transportasi,2161233.0,106.0
TX062,ACC14,DEV13,192.168.1.35,MCH10,2026-03-03,Transportasi,743216.0,100.0
TX063,ACC18,DEV06,192.168.1.16,MCH10,2026-03-04,Transportasi,2477401.0,130.0
TX064,ACC26,DEV12,192.168.1.41,MCH06,2026-03-05,Transportasi,1293506.0,150.0
TX065,ACC09,DEV12,192.168.1.36,MCH01,2026-03-06,Kuliner,830497.0,56.0
TX066,ACC26,DEV11,192.168.1.33,MCH04,2026-03-07,Fashion,542313.0,7.0
TX067,ACC21,DEV07,192.168.1.4,MCH10,2026-03-08,Elektronik,1288108.0,96.0
TX068,ACC02,DEV01,192.168.1.33,MCH06,2026-03-09,Transportasi,1362682.0,134.0
TX069,ACC20,DEV01,192.168.1.14,MCH06,2026-03-10,Transportasi,1101871.0,103.0
TX070,ACC28,DEV13,192.168.1.21,MCH11,2026-03-11,Transportasi,1087383.0,4.0
TX071,ACC15,DEV09,192.168.1.48,MCH12,2026-03-12,Kuliner,2279656.0,24.0
TX072,ACC28,DEV03,192.168.1.20,MCH05,2026-03-13,Transportasi,2074365.0,54.0
TX073,ACC07,DEV07,192.168.1.8,MCH01,2026-03-14,Transportasi,1311643.0,166.0
TX074,ACC12,DEV06,192.168.1.7,MCH08,2026-03-15,Transportasi,1558584.0,84.0
TX075,ACC29,DEV08,192.168.1.3,MCH05,2026-03-16,Fashion,2031342.0,146.0
TX076,ACC08,DEV09,192.168.1.17,MCH12,2026-03-17,Kuliner,419540.0,86.0
TX077,ACC15,DEV05,192.168.1.33,MCH12,2026-03-18,Transportasi,1951275.0,79.0
TX078,ACC03,DEV01,192.168.1.48,MCH12,2026-03-19,Elektronik,1240557.0,111.0
TX079,ACC14,DEV19,192.168.1.12,MCH05,2026-03-20,Elektronik,769699.0,2.0
TX080,ACC17,DEV10,192.168.1.22,MCH07,2026-03-21,Elektronik,2142022.0,52.0
TX081,ACC04,DEV12,192.168.1.22,MCH04,2026-03-22,Kuliner,977082.0,174.0
TX082,ACC18,DEV15,192.168.1.46,MCH06,2026-03-23,Kuliner,273683.0,5.0
TX083,ACC08,DEV09,192.168.1.30,MCH13,2026-03-24,Elektronik,51790.0,
TX084,ACC04,DEV17,192.168.1.38,MCH04,2026-03-25,Transportasi,1716738.0,33.0
TX085,ACC02,DEV17,192.168.1.38,MCH14,2026-03-26,Kuliner,473345.0,35.0
TX086,ACC06,DEV12,192.168.1.45,MCH03,2026-03-27,Elektronik,774074.0,93.0
TX087,ACC22,DEV07,192.168.1.8,MCH07,2026-03-28,Elektronik,1904490.0,96.0
TX088,ACC10,DEV02,192.168.1.27,MCH08,2026-03-29,Transportasi,815141.0,73.0
TX089,ACC04,DEV03,192.168.1.27,MCH04,2026-03-30,Fashion,1479908.0,40.0
